,departure_time,arrival_time,distance,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,source_city_Chennai,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,source_city_New Delhi,destination_city_Chennai,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai,destination_city_New Delhi
0,2,5,1160.540574,2.17,1,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
1,1,4,1160.540574,2.33,1,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
2,1,1,1160.540574,2.17,1,5956,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
3,4,0,1160.540574,2.25,1,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
4,4,4,1160.540574,2.33,1,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
5,4,0,1160.540574,2.33,1,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
6,4,4,1160.540574,2.08,1,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
7,0,2,1160.540574,2.17,1,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
8,1,4,1160.540574,2.17,1,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
9,0,2,1160.540574,2.25,1,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
10,0,2,1160.540574,2.25,1,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
11,4,0,1160.540574,2.33,1,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
12,1,4,1160.540574,2.17,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
13,4,0,1160.540574,2.17,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
14,0,2,1160.540574,2.25,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
15,4,4,1160.540574,2.33,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
16,1,4,1160.540574,2.08,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
17,1,4,1160.540574,2.17,1,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
18,4,4,1160.540574,2.5,1,6165,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
19,0,2,1160.540574,2.17,1,6690,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
20,2,2,1160.540574,2.17,1,6585,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
21,2,5,1160.540574,2.33,1,10260,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
22,2,5,1160.540574,2.17,1,10470,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
23,2,5,1160.540574,2.33,1,12780,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
24,2,5,1160.540574,2.25,1,15720,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
25,1,4,1160.540574,2.25,2,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
26,2,5,1160.540574,2.33,2,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
27,4,4,1160.540574,2.08,2,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
28,2,5,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
29,2,5,1160.540574,2.25,2,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
30,4,4,1160.540574,2.33,2,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
31,2,5,1160.540574,2.33,2,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
32,5,5,1160.540574,2.17,2,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
33,1,4,1160.540574,2.17,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
34,0,2,1160.540574,2.25,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
35,2,5,1160.540574,2.25,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
36,5,5,1160.540574,2.25,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
37,4,0,1160.540574,2.33,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
38,2,5,1160.540574,2.33,2,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
39,1,4,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
40,2,2,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
41,2,5,1160.540574,2.17,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
42,4,0,1160.540574,2.25,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
43,0,2,1160.540574,2.25,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
44,5,5,1160.540574,2.25,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
45,1,4,1160.540574,2.33,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
46,4,4,1160.540574,2.33,2,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
