airline,source_city,departure_time,stops,arrival_time,destination_city,distance,class,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,od_pair
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,1,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,1,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
AirAsia,New Delhi,Early_Morning,zero,Early_Morning,Mumbai,1160.540574,Economy,2.17,1,5956,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,1,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,1,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,1,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,1,6060,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,1,6060,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,1,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,1,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,1,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,1,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,1,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.5,1,6165,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,1,6690,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.17,1,6585,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,1,10260,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,1,10470,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,1,12780,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,1,15720,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,2,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,2,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,2,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,2,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,2,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,2,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
